Experimento,No.,Clase,max_b1,max_b2,max_b3,max_b4,max_b5,max_b6,max_b7,max_b8,min_b1,min_b2,min_b3,min_b4,min_b5,min_b6,min_b7,min_b8,coe_cor_min,coe_cor_prom,coe_cor_max,con_min_ene,con_max_ene_pro,con_max_ene,cen_con_min,cen_con_prom,cen_con_max,des_est_sum_pro,rol_inv_min,rol_inv_prom,rol_inv_max,sum_ene_pro,ent_min,ent_prom,ent_max,spre_min,spre_prom,spre_max,kur_min,kur_prom,kur_max,asim_min,asim_prom,asim_max,deca_min,deca_prom,deca_max,max_b1,max_b2,max_b3,max_b4,max_b5,max_b6,min_b1,min_b2,min_b3,min_b4,min_b5,min_b6,rms_min,rms_prom,rms_max,rol_min,rol_prom,rol_max,cen_min,cen_prom,cen_max,corre_min,corre_prom,corre_max,ent_min,ent_prom,ent_max,no_sismo,tremor,impacto
L_F_04_A_01,1,0,2.249723814,5.470311881,6.169593848,12.83299999,5.485639146,2.641444091,3.350708692,2.825987582,1.247422308,2.079716423,5.154637668,8.681938015,3.330496334,1.812442412,2.206127851,1.778232975,0,0.218088535,0.982011679,47,53.33333333,60,1853.282807,1896.369583,1944.80916,3.144467472,102,105,107,33.17554617,0.780594719,0.799789032,0.84972793,853.1828499,887.8536338,937.2705604,2.678195549,3.005573471,3.29612534,0.519077132,0.601020748,0.66885075,0.021490059,0.022948896,0.02443054,10.90204623,9.375549188,10.64789913,9.17172688,8.393672775,4.943427548,7.362277783,5.91560408,6.781087724,5.812023382,5.035775198,2.773675995,3.049718225,3.530182455,4.18283322,109,112.2857143,114,40.46053134,41.68534185,43.87780542,0.741523986,0.788302859,0.842911372,0.885640663,0.893963493,0.913034688,7,0,0
L_F_04_C_01,2,0,4.870923106,5.319116003,10.02984544,10.33580137,5.027720326,2.794306131,3.038197766,2.529713859,3.275357318,3.197289642,8.689668563,6.967332658,3.417184583,2.228887314,2.111839987,1.577125616,0,0.217506561,0.978844378,44,51.66666667,60,1673.748764,1725.447602,1756.807653,3.110157342,98,101,103,38.53945392,0.837231784,0.848625929,0.871691414,933.0914645,952.4095102,991.929873,2.683356357,2.830640063,2.960077272,0.529276934,0.609828211,0.71179284,0.029298459,0.031867546,0.034233277,9.513759087,11.15973589,11.25734777,11.96176855,11.17083731,6.503440043,3.823779454,5.288259893,5.785348612,4.944120271,5.470358085,2.940006354,5.077139327,6.392018072,9.939858211,110,114.2857143,119,43.21375617,44.69372199,46.86459008,0.699105588,0.776702351,0.826845925,0.874463134,0.897106244,0.915503025,6,1,0
L_F_04_D_01,3,0,3.385605281,5.903252914,10.01013949,12.48762901,5.849203583,3.902063484,3.954006443,4.971209976,1.664416432,1.957936796,5.980448116,9.411609843,4.340382578,2.079134591,2.207531769,3.040357437,0,0.217681602,0.969567478,43,50.5,55,1908.111451,1975.804212,2035.303319,2.752886409,110,112.3333333,114,39.31456149,0.828495814,0.860352987,0.886334529,934.2797887,991.6116229,1028.450367,2.408533901,2.580363846,2.816725643,0.350975737,0.505985068,0.576347634,0.023600043,0.027317358,0.03086065,9.701787279,11.32311568,12.48534346,10.5117145,10.15348494,5.571500825,6.358209375,6.337990869,5.332555236,4.862050925,5.549086467,2.686056766,2.419807585,3.382210738,4.190297573,108,113,116,38.62564118,42.15536704,43.93762346,0.759068918,0.789575012,0.833933588,0.874465288,0.893218383,0.926038937,7,0,0
L_F_04_D_02,4,0,10.34062606,9.978504971,11.72349019,13.02714563,10.07394217,11.73279284,10.91526416,12.05028957,5.618707322,3.35615744,4.069815877,4.797144228,3.35101146,3.803436063,3.627041546,3.346396632,0,0.215484949,0.980762151,4,26.66666667,83,1865.425855,1963.526879,2082.298007,1.996984194,111,113.3333333,116,56.24242877,0.917298042,0.951709793,0.988047123,1131.061575,1182.128331,1248.334716,1.732937608,1.853601068,2.015231141,0.046033724,0.141548701,0.262701246,-0.028710868,-0.01019353,0.012256724,9.883157668,9.780729067,11.3738258,9.105198414,9.594938091,5.442623169,6.823100052,6.016237197,6.022105878,4.530016477,5.381492128,2.345264661,2.965952629,3.543134097,4.074022122,108,111.8571429,115,40.08630831,41.80569543,43.81004252,0.75547503,0.808158128,0.857145969,0.860099557,0.889751967,0.905220317,7,0,0
L_F_04_D_03,5,0,6.920375953,10.01490539,11.80298584,6.936935027,2.287783249,1.011515771,0.919191534,1.096596938,5.491582997,6.887605846,9.009486635,4.527129038,1.773507459,0.64815642,0.566058671,0.72390004,0,0.221251096,0.980004496,12,35.66666667,46,1232.110933,1252.07753,1278.156133,5.751273229,69,70.66666667,73,35.01370425,0.795216223,0.813561547,0.824635549,798.9949829,819.3892634,837.2573007,4.433438245,4.592125322,4.839701455,1.212108322,1.248015008,1.308085157,0.040718604,0.043190563,0.044211104,9.692786509,10.50229833,9.488842277,10.70829624,8.115913793,5.162917536,7.068415281,6.789837743,6.414741956,7.027407315,6.29731348,3.435010162,3.126874438,3.774785308,4.07306319,110,112.7142857,115,40.962365,42.34701821,43.83210811,0.75917261,0.793820987,0.875664566,0.878270419,0.892058646,0.905345944,7,0,0
L_F_04_E_03,6,0,5.966337449,11.14874014,13.23711288,7.239248213,2.287970212,1.350448505,1.148072589,1.403522876,3.528349075,7.156588612,9.998178184,5.47738465,1.514341277,0.835825039,0.807651452,0.8281038,0,0.221426581,0.9827914,21,39.5,44,1299.751351,1334.056108,1376.705116,7.214497586,71,74.33333333,76,34.90960544,0.793902759,0.813577784,0.830193912,782.8099738,811.4732321,831.5971809,4.606673845,4.755372045,5.063376701,1.207301262,1.295162107,1.346722354,0.037195396,0.038466087,0.040540882,8.815445576,10.66928818,10.22688362,8.843533511,8.980228721,5.117299897,6.052618748,6.166016025,4.677029631,5.34300218,4.259713722,2.367983098,2.847696437,3.569441269,3.81198767,108,111.4285714,115,39.9201351,41.39228904,43.62873785,0.759875515,0.798752561,0.836325626,0.859445882,0.890323598,0.904947199,7,0,0
L_F_04_G_01,7,0,3.011966427,8.537207259,10.00540276,9.771756321,2.012654216,0.810080029,0.749735801,0.910236259,1.909987809,4.940669916,7.922444271,7.994981642,1.46024252,0.690269143,0.697598139,0.695110797,0,0.220944461,0.983943939,19,43.33333333,51,1366.669459,1402.9433,1491.011941,6.84282106,67,68.83333333,72,31.70028189,0.779025047,0.788252786,0.795104478,741.4583979,757.7129386,796.6239106,4.597705588,4.79270153,5.056889987,1.043490684,1.131792029,1.257179908,0.030262672,0.033883779,0.035747456,8.480145616,11.02596431,10.11074664,9.813624959,6.833644209,5.989196773,4.494095537,5.993702641,3.936461298,5.338601899,4.156274843,1.954996957,2.689679349,3.392931093,3.703355742,110,114.1428571,118,40.4706685,41.90788893,43.00979841,0.763534922,0.807155985,0.848729657,0.858980789,0.890970466,0.909008431,7,0,0
L_F_04_G_02,8,0,7.022666179,8.068447072,11.89664381,7.289042526,2.932651407,1.258571149,1.187751323,1.875298066,5.171031702,6.485131902,10.62507221,6.328120965,2.33027213,1.030130455,0.9128033,1.531770752,0,0.222074478,0.982362883,39,41.83333333,44,1348.153869,1377.127044,1397.228546,3.78357327,78,79.66666667,82,38.21333308,0.830085091,0.840548742,0.848601828,873.3311432,893.3033674,912.3951687,3.96536282,4.14946146,4.377826278,1.127177155,1.166141077,1.246421372,0.040865205,0.042785627,0.04487044,10.97570398,12.80763052,10.03780174,10.16950754,8.168506296,5.816471523,6.170758171,5.503238219,4.636994988,5.806862357,5.905042421,2.744628164,2.983679566,3.734083725,4.053355092,109,112.1428571,114,40.2425703,41.90377071,44.10308449,0.713146369,0.793789439,0.840477743,0.867710293,0.892459427,0.910248942,7,0,0
L_F_04_G_03,9,0,6.681910703,9.753829096,12.23785916,7.862967649,2.156714206,1.151987335,1.276254689,1.027419176,5.29641743,7.639602573,9.681720831,4.443211966,1.643674096,0.894221546,0.880337352,0.793583214,0,0.219578,0.978748848,20,32.66666667,51,1251.743766,1265.788043,1289.421767,7.170938117,70,73.16666667,75,36.23504754,0.808297916,0.818596718,0.827904283,795.9693723,823.5025486,845.8986356,4.406376189,4.554876128,4.626105973,1.185612504,1.260795324,1.327803241,0.041455032,0.043600286,0.045656872,10.23503819,10.83161137,9.685975707,10.19279555,9.041686763,5.459576669,5.950487622,4.458697688,4.268374642,3.735662506,4.730681135,2.109139496,2.696931126,3.608824408,4.547492441,109,113.2857143,116,39.18721716,41.6633633,42.94148692,0.728108108,0.794564864,0.862471312,0.83930745,0.887745182,0.925031057,7,0,0
L_F_04_H_01,10,0,4.562369822,8.197090753,11.56258637,9.240093425,2.120586943,0.864306207,0.915794172,0.86359354,3.335461541,6.213587828,9.362160833,7.169497452,1.452822756,0.663388804,0.720939546,0.685082921,0,0.221713619,0.980456915,42,45.16666667,51,1343.574891,1355.383256,1377.748615,5.505453725,66,67.33333333,70,33.95245075,0.8003836,0.81177299,0.822118572,751.5084452,763.1960435,781.770279,4.720590349,4.837599846,4.983718485,1.129272854,1.165011256,1.186250005,0.035938354,0.036402212,0.03735793,9.647231224,11.22930145,10.08014551,10.97104079,9.65284238,5.967979696,6.360725889,5.979466163,5.276356161,6.953601684,5.484285144,2.996327657,2.598076211,3.216536142,3.534981436,111,113.4285714,117,41.95612723,43.04712467,45.31164258,0.766855001,0.811665159,0.855686841,0.883853349,0.902004668,0.920372276,7,0,0
